,count layer hidden,count neuron,epoc,count data,percentage validation,percentage error training,percetage error validation
0,1,5,0,100,10.0 %,13.8929,1.1398
1,1,5,0,100,20.0 %,11.1603,0.4081
2,1,5,0,100,30.0 %,10.133,0.1307
3,1,5,0,500,10.0 %,2.9364,0.0082
4,1,5,0,500,20.0 %,0.3949,0.001
5,1,5,0,500,30.0 %,0.187,0.0005
6,1,5,0,1000,10.0 %,0.2021,0.0003
7,1,5,0,1000,20.0 %,0.1105,0.0002
8,1,5,0,1000,30.0 %,0.0844,0.0
9,1,10,0,100,10.0 %,28.5647,1.8011
10,1,10,0,100,20.0 %,14.5954,0.3688
11,1,10,0,100,30.0 %,11.6395,0.134
12,1,10,0,500,10.0 %,5.8019,0.0315
13,1,10,0,500,20.0 %,0.8561,0.0003
14,1,10,0,500,30.0 %,0.275,0.0007
15,1,10,0,1000,10.0 %,0.2416,0.0005
16,1,10,0,1000,20.0 %,0.1099,0.0007
17,1,10,0,1000,30.0 %,0.0756,0.0
18,2,5,0,100,10.0 %,16.6513,1.175
19,2,5,0,100,20.0 %,11.4503,0.453
20,2,5,0,100,30.0 %,11.2666,0.3392
21,2,5,0,500,10.0 %,11.1433,0.2372
22,2,5,0,500,20.0 %,10.4702,0.1042
23,2,5,0,500,30.0 %,7.6682,0.0103
24,2,5,0,1000,10.0 %,5.4231,0.0076
25,2,5,0,1000,20.0 %,4.5874,0.0563
26,2,5,0,1000,30.0 %,4.4281,0.023
27,2,10,0,100,10.0 %,22.7766,1.4045
28,2,10,0,100,20.0 %,11.6194,0.463
29,2,10,0,100,30.0 %,11.56,0.3124
30,2,10,0,500,10.0 %,11.3265,0.2328
31,2,10,0,500,20.0 %,10.7576,0.121
32,2,10,0,500,30.0 %,8.4221,0.0139
33,2,10,0,1000,10.0 %,5.411,0.0074
34,2,10,0,1000,20.0 %,4.186,0.0325
35,2,10,0,1000,30.0 %,3.1319,0.0035
